X	7900000	16	23	42	666
X	8000000	14	14	38	582
X	8100000	39	43	41	796
X	8200000	20	24	34	814
X	8300000	20	23	37	576
X	8400000	31	31	24	533
X	8500000	34	35	37	750
X	8600000	23	74	27	566
X	8700000	23	30	29	580
X	8800000	14	17	10	478
X	8900000	37	39	23	692
X	9000000	29	30	32	849
X	9100000	35	39	37	783
X	9200000	47	51	40	893
X	9300000	75	86	55	1172
X	9400000	58	81	34	1001
X	9500000	52	59	55	971
X	9600000	80	83	30	924
X	9700000	41	78	22	712
X	9800000	53	71	21	782
X	9900000	62	69	30	865
X	10000000	47	77	7	1027
X	10100000	54	59	8	858
X	10200000	20	27	7	564
X	10300000	27	27	18	673
X	10400000	32	40	11	828
X	10500000	16	25	4	539
X	10600000	22	35	11	821
X	10700000	6	20	9	259
X	10800000	17	17	9	379
X	10900000	7	9	6	335
X	11000000	30	33	15	773
X	11100000	17	25	31	757
X	11200000	8	9	23	399
X	11300000	24	24	19	397
X	11400000	26	35	30	851
X	11500000	18	21	20	527
X	11600000	25	62	15	731
X	11700000	27	29	33	761
X	11800000	12	19	12	487
X	11900000	15	20	11	624
X	12000000	15	18	7	841
X	12100000	15	62	6	660
X	12200000	21	27	6	871
X	12300000	24	36	7	636
X	12400000	31	46	14	971
X	12500000	11	14	13	797
X	12600000	57	63	11	523
X	12700000	36	53	13	1024
X	12800000	26	48	10	984
X	12900000	23	82	36	853
X	13000000	29	34	31	498
X	13100000	22	25	33	583
X	13200000	26	26	33	569
X	13300000	45	49	57	876
X	13400000	15	20	24	510
X	13500000	16	26	22	602
X	13600000	30	32	26	999
X	13700000	21	69	17	760
X	13800000	23	57	6	978
X	13900000	10	49	6	642
X	14000000	33	39	28	1000
X	14100000	4	15	24	541
X	14200000	4	5	11	467
X	14300000	35	36	38	1080
X	14400000	21	21	27	586
X	14500000	13	13	17	397
X	14600000	18	19	25	463
X	14700000	26	29	26	659
X	14800000	11	37	24	633
X	14900000	9	9	27	712
X	15000000	4	5	11	481
X	15100000	11	14	22	605
X	15200000	60	61	65	1176
X	15300000	28	31	15	369
X	15400000	15	18	26	419
X	15500000	18	20	38	628
X	15600000	14	52	12	697
X	15700000	36	41	12	815
X	15800000	15	15	24	571
